,Point,Assist,Rebound,Turnover,Start Ratio,MP,FGA,FGP,3PA,3PP,FTA,FTP,Steal,Block,Height,Weight,Position,College Name,Pick
170,11.7,2.2,6.5,2.1,0.5362318840579711,21.0,10.4,0.449,1.5,0.252,2.9,0.66,1.3,0.5,203.0,101.0,Forward,Kentucky,6.0
171,16.0,1.3,10.3,2.0,1.0,34.8,11.5,0.551,0.0,0.0,5.3,0.635,1.0,2.0,211.0,102.0,Center,Memphis,7.0
172,18.4,3.3,5.9,2.0,0.9016393442622951,36.1,14.1,0.478,5.8,0.394,3.7,0.719,2.3,0.4,196.0,81.0,Guard,Villanova,8.0
173,13.2,1.4,9.2,2.6,0.956989247311828,28.4,8.8,0.587,0.0,0.0,5.1,0.566,0.6,2.7,211.0,120.0,Center,Mississippi State,10.0
174,13.8,1.0,7.7,1.5,0.7739130434782608,27.4,10.2,0.498,0.5,0.309,4.3,0.8,0.3,1.3,211.0,115.0,Center,NC State,11.0
175,14.9,4.5,3.1,3.1,0.20353982300884957,30.1,10.9,0.43,5.8,0.401,3.8,0.867,1.3,0.1,190.0,88.0,Guard,Santa Clara,15.0
176,14.2,1.6,3.5,1.5,0.7669172932330827,23.7,10.8,0.474,5.4,0.397,2.6,0.709,1.5,0.3,185.0,85.0,Guard,Kentucky,16.0
177,16.7,2.0,8.4,3.1,0.9921259842519685,33.1,11.6,0.533,0.8,0.39,5.4,0.738,1.1,1.6,203.0,102.0,Forward,Syracuse,18.0
178,9.2,1.8,5.1,1.8,0.6699029126213593,20.5,6.6,0.515,1.8,0.401,2.4,0.684,0.9,1.0,208.0,104.0,Forward,Kentucky,19.0
179,14.7,1.9,6.8,2.2,0.9696969696969697,30.5,12.7,0.474,2.5,0.296,2.6,0.744,1.1,0.9,203.0,99.0,Forward,Mississippi State,21.0
180,6.4,0.5,5.0,1.2,0.43137254901960786,20.4,5.2,0.517,0.0,0.0,1.6,0.61,0.4,2.6,208.0,106.0,Center,Alabama,22.0
181,12.4,4.2,4.4,2.4,0.9285714285714286,32.6,9.3,0.414,2.9,0.38,4.8,0.747,1.6,0.1,185.0,90.0,Guard,Little Rock,24.0
182,10.5,1.4,9.3,2.3,1.0,28.8,7.4,0.544,0.3,0.167,3.9,0.634,1.6,0.4,206.0,93.0,Forward,Georgetown,26.0
183,13.7,2.7,6.0,1.8,0.7096774193548387,29.1,10.2,0.449,3.7,0.408,3.8,0.8,0.8,0.4,203.0,99.0,Forward,Indiana,27.0
